ddl_case_id,act,section,bailable_ipc,number_sections_ipc,criminal
06-03-02-210100004042014,17353,,,1.0,1
23-34-01-229900001012019,4759,,,,1
13-18-03-204000030972016,17353,,,1.0,1
23-28-01-220102000232016,4759,,,,1
01-35-05-203007002652012,17353,,,1.0,1
11-07-05-217800001262020,4759,,,,1
03-20-02-201200220682017,4759,,,,1
16-09-07-201600062352015,17353,,,1.0,1
04-10-01-202301001952013,17353,,,1.0,1
08-11-01-215200008432018,17353,,,1.0,1
10-08-09-232500013122017,4759,,,,1
18-07-01-204100001532016,4759,,,,1
17-34-01-206400001552020,4759,,,,1
11-22-04-203200001462020,4759,,,,1
23-36-01-229900000042018,4759,,,,1
09-40-23-220000012732015,17353,,,1.0,1
09-19-09-202400006102015,4759,,,,1
03-20-02-201900020262015,17353,,,1.0,1
17-13-01-206400008852019,4759,,,,1
04-06-10-206602017732015,17353,,,1.0,1
08-23-03-202000024012015,17353,,,1.0,1
14-05-03-203800308092014,17353,,,1.0,1
16-20-11-201100008602016,4759,,,,1
03-28-06-201200004502019,17353,,,1.0,1
08-09-03-216500065792014,17353,,,1.0,1
14-16-04-204100002352015,4759,,,,1
16-21-04-201600016112016,17353,,,1.0,1
01-09-02-203003037042010,17353,,,1.0,1
08-16-01-201000049502014,17353,,,1.0,1
13-61-03-200200040622016,17353,,,1.0,1
29-09-10-202100010462015,17353,,,1.0,1
03-04-01-205200000032010,17353,,,1.0,1
13-19-03-201400070572016,17353,,,1.0,1
01-25-06-203422003362010,17353,,,1.0,1
01-15-17-203416004352011,17353,,,1.0,1
01-23-09-208651002732011,17353,,,1.0,1
01-27-01-203601003482010,17353,,,1.0,1
02-02-03-203400002552015,17353,,,1.0,1
06-20-06-202300000252016,17353,,,1.0,1
14-18-01-202500008122016,4759,,,,1
08-23-03-202000041462013,17353,,,1.0,1
01-29-09-203415000952012,17353,,,1.0,1
06-04-05-202300021042015,17353,,,1.0,1
08-13-06-216500099012014,17353,,,1.0,1
13-69-05-209900005982019,17353,,,1.0,1
11-05-10-219600005862016,17353,,,1.0,1
16-03-06-204300000922015,17353,,,1.0,1
06-20-03-202300053552013,17353,,,1.0,1
13-68-03-206200000862018,17353,,,1.0,1
03-04-01-201900002802015,17353,,,1.0,1
08-21-03-202100105422015,17353,,,1.0,1
01-02-06-203014000062011,17353,,,1.0,1
11-04-12-216200071232016,17353,,,1.0,1
13-63-03-205617005862019,17353,,,1.0,1
14-11-05-203600003202014,17353,,,1.0,1
16-02-03-201100013902018,4759,,,,1
13-44-03-203512002922019,17353,,,1.0,1
16-12-02-201300000892015,17353,,,1.0,1
02-04-05-202105002802016,17353,,,1.0,1
15-09-01-204800000162017,17353,,,1.0,1
11-11-02-203900005612016,17353,,,1.0,1
11-06-03-202400002442016,4759,,,,1
01-30-14-201919000982010,17353,,,1.0,1
23-13-01-220701001022014,17353,,,1.0,1
13-23-03-202006057152016,17353,,,1.0,1
01-25-21-203426000262011,17353,,,1.0,1
11-27-02-203900003032016,4759,,,,1
02-15-01-204200013752016,4759,,,,1
16-14-07-205100003642019,4759,,,,1
29-08-04-202100001792015,4759,,,,1
11-12-02-204700051732016,17353,,,1.0,1
03-20-02-201200089422017,4759,,,,1
16-20-11-201100007412018,4759,,,,1
08-02-03-202100012102016,17353,,,1.0,1
17-13-21-206400070122018,4759,,,,1
08-23-03-202000044642013,17353,,,1.0,1
01-23-06-200122021062011,17353,,,1.0,1
02-05-05-202102004952016,17353,,,1.0,1
29-04-03-202104006212016,17353,,,1.0,1
16-14-14-205200010172016,17353,,,1.0,1
23-44-03-220605001582012,17353,,,1.0,1
17-21-01-206400000092017,4759,,,,1
22-05-06-202300000132019,17353,,,1.0,1
01-07-06-203600001262017,4759,,,,1
01-37-02-214701007752019,4759,,,,1
29-08-05-202106003292014,17353,,,1.0,1
08-09-03-214200124532013,17353,,,1.0,1
14-06-01-202500023592016,17353,,,1.0,1
04-03-21-202900030532015,17353,,,1.0,1
29-08-05-202100018282018,17353,,,1.0,1
13-12-04-203500010602016,17353,,,1.0,1
16-12-02-201100050122015,4759,,,,1
08-29-03-214200000972016,17353,,,1.0,1
09-06-08-253500006112020,4759,,,,1
25-02-05-212300000092016,17353,,,1.0,1
11-26-03-220300010782015,17353,,,1.0,1
01-23-06-200166040812015,17353,,,1.0,1
08-04-04-214200017112016,17353,,,1.0,1
13-06-02-207100027562016,17353,,,1.0,1
04-03-01-202000001762015,17353,,,1.0,1
